date,description,amount,category
2026-05-31,RENT PAYMENT AVALON BAY COMMUNITIES,-2244.36,Rent
2026-05-31,DAVE & BUSTERS #0087 DALLAS TX,-84.56,Entertainment
2026-05-31,CHECK #1042,-44.50,Other
2026-06-01,TJ MAXX #0872 DENVER CO,-39.29,Shopping
2026-06-01,ATM WITHDRAWAL #88213 MAIN ST,-195.36,Other
2026-06-01,OVERDRAFT FEE,-106.07,Other
2026-06-01,OVERDRAFT FEE,-190.46,Other
2026-06-02,AT&T *PAYMENT 800-288-2020 TX,-106.72,Utilities
2026-06-03,ACH DEBIT IRVINE COMPANY APTS,-2397.89,Rent
2026-06-03,COMCAST CABLE COMM 800-934-6489,-87.62,Utilities
2026-06-03,NIKE.COM 800-806-6453 OR,-125.36,Shopping
2026-06-04,WASTE MGMT #4471 AUTOPAY,-99.78,Utilities
2026-06-05,POS DEBIT WHOLEFDS MKT 10345 AUSTIN TX,-117.37,Groceries
2026-06-08,TICKETMASTER 800-653-8000 CA,-36.26,Entertainment
2026-06-08,VENMO CASHOUT DEPOSIT,2817.57,Income
2026-06-10,TST* THE CORNER BISTRO NYC NY,-14.59,Dining
2026-06-10,DAVE & BUSTERS #0087 DALLAS TX,-44.78,Entertainment
2026-06-10,SEPHORA #1029 SAN DIEGO CA,-47.30,Shopping
2026-06-11,REC'D PAYPAL TRANSFER,2433.85,Income
2026-06-12,AT&T *PAYMENT 800-288-2020 TX,-173.61,Utilities
2026-06-12,TJ MAXX #0872 DENVER CO,-146.58,Shopping
2026-06-12,MISC DEBIT ADJUSTMENT,-79.74,Other
2026-06-13,SAFEWAY STORE 00456 SEATTLE WA,-46.70,Groceries
2026-06-13,COSTCO WHSE #0512 SAN JOSE CA,-103.67,Groceries
2026-06-13,RENT PAYMENT AVALON BAY COMMUNITIES,-1900.41,Rent
2026-06-13,NETFLIX.COM LOS GATOS CA,-23.85,Subscriptions
2026-06-14,DAVE & BUSTERS #0087 DALLAS TX,-68.78,Entertainment
2026-06-14,REI CO-OP #0033 BOULDER CO,-134.20,Shopping
2026-06-15,DOORDASH*WINGSTOP SAN FRANCISCO CA,-38.98,Dining
2026-06-15,NETFLIX.COM LOS GATOS CA,-12.48,Subscriptions
2026-06-15,BEST BUY 00003221 SEATTLE WA,-57.96,Shopping
2026-06-16,ACH DEBIT GREYSTAR MGMT RENT,-2327.29,Rent
2026-06-16,COMCAST CABLE COMM 800-934-6489,-173.93,Utilities
2026-06-17,AMC 24 THEATRES #1187 BURBANK CA,-19.66,Entertainment
2026-06-17,COMCAST CABLE COMM 800-934-6489,-100.89,Utilities
2026-06-18,POS DEBIT WHOLEFDS MKT 10345 AUSTIN TX,-17.82,Groceries
2026-06-18,TST* THE CORNER BISTRO NYC NY,-38.95,Dining
2026-06-19,LYFT *RIDE MON 8PM SAN FRANCISCO CA,-42.64,Transport
2026-06-20,STEAMGAMES.COM 425-889-9642 WA,-70.91,Entertainment
2026-06-21,VENMO CASHOUT DEPOSIT,2208.94,Income
2026-06-24,STARBUCKS STORE 08812 PORTLAND OR,-17.36,Dining
2026-06-24,ONLINE PMT BLUEROCK PROPERTIES LLC,-1885.15,Rent
2026-06-24,ACH DEBIT PGE ELECTRIC BILLPAY,-166.62,Utilities
2026-06-25,VERIZON WIRELESS PAYMENTS,-99.88,Utilities
2026-06-25,AMZN MKTP US*2K4RT9 AMZN.COM/BILL,-135.04,Shopping
2026-06-28,COSTCO WHSE #0512 SAN JOSE CA,-35.25,Groceries
2026-06-28,SHELL OIL 57443921 PHOENIX AZ,-10.34,Transport
2026-06-28,ETSY.COM - MERCH BROOKLYN NY,-119.30,Shopping
2026-06-29,VENMO CASHOUT DEPOSIT,2405.82,Income
2026-06-30,ONLINE PMT BLUEROCK PROPERTIES LLC,-2316.55,Rent
2026-06-30,HULU 877-830-4858 CA,-16.02,Subscriptions
2026-07-01,HERTZ RENT-A-CAR #4471 SAN DIEGO CA,-610.00,Transport
2026-07-02,ACH DEBIT GREYSTAR MGMT RENT,-2010.69,Rent
2026-07-02,ACH DEBIT GREYSTAR MGMT RENT,-2344.33,Rent
2026-07-02,SPOTIFY USA NEW YORK NY,-19.71,Subscriptions
2026-07-03,DOORDASH*WINGSTOP SAN FRANCISCO CA,-37.13,Dining
2026-07-04,RENT PAYMENT AVALON BAY COMMUNITIES,-1852.91,Rent
2026-07-04,ACH CREDIT STATE OF CA REFUND,2970.11,Income
2026-07-05,ADOBE  *CREATIVE CLD SAN JOSE CA,-18.72,Subscriptions
2026-07-05,TICKETMASTER 800-653-8000 CA,-85.45,Entertainment
2026-07-05,NIKE.COM 800-806-6453 OR,-101.54,Shopping
2026-07-05,ACH CREDIT INTUIT QB PAYROLL SVC,2294.28,Income
2026-07-05,MISC DEBIT ADJUSTMENT,-183.89,Other
2026-07-06,NYTIMES*SUBSCRIPTION 800-698-4637,-17.91,Subscriptions
2026-07-06,CASH APP*TRANSFER,-17.99,Other
2026-07-07,DAVE & BUSTERS #0087 DALLAS TX,-16.45,Entertainment
2026-07-07,CASH APP*TRANSFER,-111.72,Other
2026-07-08,TST* THE CORNER BISTRO NYC NY,-17.44,Dining
2026-07-08,ACH DEBIT GREYSTAR MGMT RENT,-1764.31,Rent
2026-07-08,LYFT *RIDE MON 8PM SAN FRANCISCO CA,-53.70,Transport
2026-07-08,TJ MAXX #0872 DENVER CO,-56.23,Shopping
2026-07-08,ACH CREDIT INTUIT QB PAYROLL SVC,903.89,Income
2026-07-09,ACH DEBIT IRVINE COMPANY APTS,-1773.16,Rent
2026-07-09,UBER *TRIP HELP.UBER.COM,-62.02,Transport
2026-07-09,STEAMGAMES.COM 425-889-9642 WA,-77.38,Entertainment
2026-07-10,ACH DEBIT IRVINE COMPANY APTS,-2056.08,Rent
2026-07-10,CHEVRON 0091827 LOS ANGELES CA,-17.33,Transport
2026-07-10,VERIZON WIRELESS PAYMENTS,-178.87,Utilities
2026-07-10,COMCAST CABLE COMM 800-934-6489,-72.52,Utilities
2026-07-10,ACH CREDIT INTUIT QB PAYROLL SVC,2503.58,Income
2026-07-11,SHELL OIL 57443921 PHOENIX AZ,-40.04,Transport
2026-07-11,DMV RENEWAL FEE SACRAMENTO CA,-58.00,Other
2026-07-12,REGAL CINEMAS 0421 NEW YORK NY,-80.41,Entertainment
2026-07-12,AMC 24 THEATRES #1187 BURBANK CA,-53.34,Entertainment
2026-07-13,SPOTIFY USA NEW YORK NY,-14.75,Subscriptions
2026-07-13,ACH CREDIT ACME CORP PAYROLL,1785.95,Income
2026-07-14,AMTRAK .COM 800-872-7245,-89.50,Transport
2026-07-14,REC'D PAYPAL TRANSFER,1383.42,Income
2026-07-15,PUBLIX #1187 ORLANDO FL,-96.85,Groceries
2026-07-15,NETFLIX.COM LOS GATOS CA,-18.58,Subscriptions
2026-07-16,ACH DEBIT GREYSTAR MGMT RENT,-2149.90,Rent
2026-07-17,ALDI 71029 CHICAGO IL,-31.01,Groceries
2026-07-17,ONLINE PMT BLUEROCK PROPERTIES LLC,-2227.71,Rent
2026-07-19,ACH CREDIT STATE OF CA REFUND,3017.77,Income
2026-07-20,POS DEBIT WHOLEFDS MKT 10345 AUSTIN TX,-62.04,Groceries
2026-07-20,NETFLIX.COM LOS GATOS CA,-23.65,Subscriptions
2026-07-20,OVERDRAFT FEE,-121.26,Other
2026-07-21,UBER *EATS HELP.UBER.COM,-34.71,Dining
2026-07-21,STARBUCKS STORE 08812 PORTLAND OR,-8.39,Dining
2026-07-21,AT&T *PAYMENT 800-288-2020 TX,-150.48,Utilities
2026-07-22,UBER *EATS HELP.UBER.COM,-12.27,Dining
2026-07-22,NYTIMES*SUBSCRIPTION 800-698-4637,-12.58,Subscriptions
2026-07-23,AT&T *PAYMENT 800-288-2020 TX,-91.31,Utilities
2026-07-24,DAVE & BUSTERS #0087 DALLAS TX,-83.44,Entertainment
2026-07-25,NYTIMES*SUBSCRIPTION 800-698-4637,-19.08,Subscriptions
2026-07-25,ACH CREDIT STATE OF CA REFUND,2554.69,Income
2026-07-25,DIRECT DEP EMPLOYER DISBURSEMENT,1341.23,Income
2026-07-28,ACH DEBIT PGE ELECTRIC BILLPAY,-169.09,Utilities
2026-07-29,TST* THE CORNER BISTRO NYC NY,-20.20,Dining
2026-07-29,NIKE.COM 800-806-6453 OR,-128.03,Shopping
2026-07-29,WIRE TRANSFER FEE,-163.06,Other
2026-07-30,ALDI 71029 CHICAGO IL,-59.38,Groceries
2026-07-30,ESCAPE ROOM SD DOWNTOWN,-42.00,Entertainment
2026-07-30,DIRECT DEP EMPLOYER DISBURSEMENT,1485.86,Income
2026-07-31,TRADER JOE'S #421 SAN DIEGO CA,-61.07,Groceries
2026-07-31,STEAMGAMES.COM 425-889-9642 WA,-73.66,Entertainment
2026-07-31,AT&T *PAYMENT 800-288-2020 TX,-92.30,Utilities
